"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3000000","2021","0013","20211025","20211230","늘마중","서울특별시 종로구 인사동10길 11-5 1층 (관훈동)","서울특별시 종로구 관훈동  30번지 16호  ","3000000-101-2021-00138","한식","막걸리 전","59.50","종로1.2.3.4가동","","02  730 2985"
"3000000","2021","0089","20211025","20211216","말뚜기 감자탕","서울특별시 종로구 종로51길 23-9 1층 (창신동)","서울특별시 종로구 창신동  581번지 30호  1층","3000000-101-2016-00071","식육(숯불구이)","감자탕","48.92","창신제1동","",""
"3000000","2021","0090","20211126","20211216","끄티집","서울특별시 종로구 삼일대로19길 20 1~4층 (관철동)","서울특별시 종로구 관철동  14번지 5호  ","3000000-101-2019-00441","한식","전골 샤브샤브","445.45","종로1.2.3.4가동","","02725 7772"
"3000000","2021","0088","20210311","20210325","스윗밸런스 광화문점","서울특별시 종로구 종로1길 50 더케이트윈타워 지하1층 (중학동)","서울특별시 종로구 중학동  19번지  더케이트윈타워","3000000-101-2018-00205","경양식","샐러드","64.81","종로1.2.3.4가동","",""
"3000000","2019","0015","20191030","20191231","대가곱창","서울특별시 종로구 명륜길 53 (명륜3가(지상1층))","서울특별시 종로구 명륜3가  1번지 1143호  (지상1층)","3000000-101-2009-00015","한식","곱창 막창","29.37","혜화동","","02  747 3827"
"3000000","2019","0048","20191030","20191231","엔차이","서울특별시 종로구 새문안로3길 36 (내수동용비어천가 지층 B103호)","서울특별시 종로구 내수동  75번지  용비어천가 지층 B103호","3000000-101-2007-02099","중국식","짜장면","135.15","사직동","",""
"3000000","2019","0057","20191030","20191231","이대감 고깃집","서울특별시 종로구 수표로 96 (관수동)","서울특별시 종로구 관수동  20번지  ","3000000-101-2006-00326","한식","갈비탕 갈빗살 불고기","793.39","종로1.2.3.4가동","","02  22651400"
"3000000","2018","0031","20171031","20180119","박가네빈대떡 2호점","서울특별시 종로구 동호로 403-16 1~2층 (종로5가)","서울특별시 종로구 종로5가  138번지 16호  1~2층","3000000-101-1988-06964","한식","육회","74.63","종로5.6가동","상수도전용",""
"3000000","2018","0043","20171031","20180119","신안촌","서울특별시 종로구 사직로12길 8 (내자동153154-1155-1 (1층))","서울특별시 종로구 내자동  152번지  153154-1155-1 (1층)","3000000-101-1986-06323","분식","낙지 홍어","99.98","사직동","상수도전용","02 725 7744"
"3000000","2018","0030","20171031","20180119","박가네","서울특별시 종로구 종로32길 7 2층 (종로5가)","서울특별시 종로구 종로5가  138번지 10호  ","3000000-101-2014-00149","분식","빈대떡","91.80","종로5.6가동","",""
"3000000","2018","0007","20171031","20180119","오두막","서울특별시 종로구 새문안로9길 24-5 (도렴동)","서울특별시 종로구 도렴동  150번지 6호  ","3000000-101-2014-00418","기타","곤드레밥","23.14","사직동","","02  734 3371"
"3000000","2018","0044","20171031","20180119","신안촌","서울특별시 종로구 경희궁2길 14-4 지층.1.2층 (내수동)","서울특별시 종로구 내수동  110번지 35호  지층.1.2층","3000000-101-2010-00121","한식","낙지 홍어","269.64","사직동","","02 738 9960"
"3000000","2018","0026","20171031","20180119","만가","서울특별시 종로구 사직로 103-19 (필운동(지상1층))","서울특별시 종로구 필운동  206번지  (지상1층)","3000000-101-1991-06583","한식","장어 생등심","110.00","사직동","상수도전용","02720 5797"
"3000000","2017","0002","20171001","20171130","삼대","서울특별시 종로구 돈화문로11다길 3 (돈의동)","서울특별시 종로구 돈의동  28번지  ","3000000-101-2010-00246","한식","","122.00","종로1.2.3.4가동","","02  22348877"
"3000000","2017","0017","20170101","20170101","대송","서울특별시 종로구 자하문로 34 (통의동)","서울특별시 종로구 통의동  105번지  ","3000000-101-2006-00317","일식","","164.58","사직동","","02 7320317"
"3000000","2016","0060","20161010","20161205","일산칼국수","서울특별시 종로구 삼일대로15길 6 1층 (관철동)","서울특별시 종로구 관철동  7번지 16호  ","3000000-101-2015-00157","한식","칼국수","152.23","종로1.2.3.4가동","","02  733 3131"
"3000000","2016","0059","20161007","20161205","인사동두부마을","서울특별시 종로구 인사동길 30-12 (관훈동)","서울특별시 종로구 관훈동  2번지 2호  ","3000000-101-1994-00266","한식","콩요리","88.02","종로1.2.3.4가동","상수도전용","02 7359996"
"3000000","2016","0070","20161007","20161205","청진옥","서울특별시 종로구 종로3길 32 1~4층 (청진동)","서울특별시 종로구 청진동  183번지 1호  ","3000000-101-2016-00096","한식","해장국","426.92","종로1.2.3.4가동","상수도전용","02  735 1690"
"3000000","2016","0050","20161010","20161205","에코밥상","서울특별시 종로구 사직로 127-14 (적선동)","서울특별시 종로구 적선동  94번지  ","3000000-101-2007-02133","한식","한정식","219.20","사직동","상수도전용","02  736 9136"
"3000000","2016","0144","20161004","20161205","백제고기나라","서울특별시 종로구 돈화문로11길 41 (낙원동2층)","서울특별시 종로구 낙원동  136번지 0호  2층","3000000-101-1974-05722","일식","초밥","167.05","종로1.2.3.4가동","상수도전용","02 7647733"
"3000000","2016","0033","20161005","20161205","청진꼼장어","서울특별시 종로구 종로5길 42-5 1-2층 (청진동)","서울특별시 종로구 청진동  3번지 1호  ","3000000-101-2002-11856","한식","간장게장","86.00","종로1.2.3.4가동","상수도전용",""
"3000000","2016","0013","20161010","20161205","양심(羊心)","서울특별시 종로구 인사동8길 16-1 (관훈동)","서울특별시 종로구 관훈동  29번지  ","3000000-101-1999-10882","한식","한정식","53.05","종로1.2.3.4가동","상수도전용","02 7302985"
"3000000","2015","0086","20150810","20150915","화동옥","서울특별시 종로구 창덕궁1길 40 (계동)","서울특별시 종로구 계동  140번지 43호  ","3000000-101-2010-00073","한식","설렁탕","220.06","가회동","","02 7625426"
"3000000","2015","0046","20150915","20150915","명동칼국수","서울특별시 종로구 사직로8길 42 (내수동)","서울특별시 종로구 내수동  74번지  ","3000000-101-2004-00519","경양식","태국음식","94.80","사직동","상수도전용","02 733 3066"
"3000000","2015","0010","20140107","20150915","남대문막내횟집","서울특별시 종로구 우정국로 4-1 (관철동)","서울특별시 종로구 관철동  263번지 0호  ","3000000-101-1967-03256","일식","회","91.78","종로1.2.3.4가동","상수도전용","02 7348653"
"3000000","2015","0061","20150626","20150915","일식 오수사","서울특별시 종로구 사직로 130 (적선동적선현대 지하1층 6호)","서울특별시 종로구 적선동  80번지  적선현대 지하1층 6호","3000000-101-2008-00248","일식","생선회","60.00","사직동","상수도전용","02 722 0415"
"3000000","2015","0064","20150626","20150915","정선곤드레쌈밥","서울특별시 종로구 평창문화로 152 101102103호 (평창동 평창동 안성타워)","서울특별시 종로구 평창동  66번지 72호  집합건물 101호 102호 103호","3000000-101-1999-10523","한식","쌈밥","115.71","평창동","상수도전용","02 3795669"
"3000000","2014","0014","20141117","20141230","다솔","서울특별시 종로구 종로5길 68 지하1층 (수송동)","서울특별시 종로구 수송동  80번지  지하1층","3000000-101-2013-00217","한식","","125.90","종로1.2.3.4가동","",""
"3000000","2014","0067","20141117","20141230","진고기명가","서울특별시 종로구 사직로 103-4 (내자동)","서울특별시 종로구 내자동  30번지  ","3000000-101-2003-00366","기타","육류","76.06","사직동","","02 7305611"
"3000000","2014","0049","20141117","20141230","양평추어탕","서울특별시 종로구 자하문로10길 10-17 (통의동)","서울특별시 종로구 통의동  91번지 38호  ","3000000-101-1997-07559","분식","","52.78","사직동","상수도전용","02 7386739"
"3000000","2012","0028","20120914","20121127","명작 신의주 찹쌀순대","서울특별시 종로구 사직로8길 4 (사직동풍림스페이스본 202동 지상1층 104호)","서울특별시 종로구 사직동  9번지  풍림스페이스본 202동 지상1층 104호","3000000-101-2009-00407","한식","순대국","82.46","사직동","","02 737 6484"
"3000000","2012","0054","20120914","20121127","왕비집 종로점","서울특별시 종로구 삼일대로15길 24 (관철동지상2층~4층)","서울특별시 종로구 관철동  12번지 11호  지상2층~4층","3000000-101-2001-12265","한식","고기","242.40","종로1.2.3.4가동","상수도전용","02 7383892"
"3000000","2012","0073","20120914","20121127","페르시아궁전","서울특별시 종로구 성균관로6길 9 지하1지상1층 (명륜2가)","서울특별시 종로구 명륜2가  121번지 1호  ","3000000-101-2002-11939","기타","카레","206.01","혜화동","상수도전용","02 7636050"
"3000000","2012","0035","20120914","20121127","본고향맛집","서울특별시 종로구 지봉로 16 (숭인동1층)","서울특별시 종로구 숭인동  317번지 20호  1층","3000000-101-2003-00143","한식","한정식","307.26","숭인제1동","","0222343392"
"3000000","2012","0058","20120914","20121127","이문 설농탕","서울특별시 종로구 우정국로 38-13 (견지동지상1층)","서울특별시 종로구 견지동  88번지 0호  지상1층","3000000-101-1977-00313","한식","설렁탕","128.26","종로1.2.3.4가동","상수도전용","02  395 1803"
"3000000","2012","0016","20120914","20121127","대륙","서울특별시 종로구 종로 127-2 (종로3가지하1층)","서울특별시 종로구 종로3가  20번지  지하1층","3000000-101-1994-03502","경양식","자장면","149.74","종로1.2.3.4가동","상수도전용","02 7637172"
"3000000","2012","0080","20120914","20121127","한옥","서울특별시 종로구 통일로14길 24 (무악동1층)","서울특별시 종로구 무악동  70번지 1호  1층","3000000-101-2010-00087","한식","갈비탕","112.20","무악동","",""
"3000000","2012","0056","20120914","20121127","의정부부대찌개 앤 돈까스","서울특별시 종로구 우정국로 45-7 (견지동(지상2층))","서울특별시 종로구 견지동  110번지 44호  (지상2층)","3000000-101-1998-02946","한식","부대찌개","119.88","종로1.2.3.4가동","상수도전용","02 7345552"
"3000000","2012","0025","20120914","20121127","마실","서울특별시 종로구 종로 384 (숭인동)","서울특별시 종로구 숭인동  200번지 25호  ","3000000-101-2012-00063","한식","불고기","288.81","숭인제1동","",""
"3000000","2011","0068","20110901","20111125","채선당 동묘역점","서울특별시 종로구 종로 347 지하1층 113~138호 (숭인동 롯데캐슬상가)","서울특별시 종로구 숭인동  76번지  ","3000000-101-2008-00125","기타","샤브샤브 전골","224.58","숭인제1동","상수도전용","02 7422990"
"3000000","2011","0063","20110901","20111125","전주골갈비","서울특별시 종로구 돈화문로5가길 15 (돈의동)","서울특별시 종로구 돈의동  123번지  ","3000000-101-1991-01253","한식","갈비탕","86.02","종로1.2.3.4가동","상수도전용","0207652582"
"3000000","2011","0038","20110901","20111125","종로낙원 닭국수","서울특별시 종로구 수표로 118 1층 (낙원동)","서울특별시 종로구 낙원동  146번지  ","3000000-101-2006-00354","경양식","냉면","81.82","종로1.2.3.4가동","상수도전용","02 7630756"
"3000000","2011","0074","20110901","20111125","평가옥","서울특별시 종로구 새문안로5길 19 로얄빌딩 지하1층 8121314호 (당주동)","서울특별시 종로구 당주동  5번지  로얄빌딩","3000000-101-2010-00045","한식","전골","278.16","사직동","","02 7321566"
"3000000","2010","0065","20100901","20101122","조마루(신설동점)","서울특별시 종로구 난계로29길 37 (숭인동)","서울특별시 종로구 숭인동  201번지 10호  ","3000000-101-1983-01678","한식","감자탕","90.15","숭인제2동","상수도전용","0202534104"
"3000000","2010","0076","20100901","20101122","풍천손가네민물장어","서울특별시 종로구 종로51가길 2-1 1층 (창신동)","서울특별시 종로구 창신동  148번지 1호  1층","3000000-101-2006-00366","한식","장어구이","107.36","창신제2동","","0236730510"
"3000000","2010","0024","20100901","20101122","마산아구찜","서울특별시 종로구 자하문로 18-1 (통의동)","서울특별시 종로구 통의동  66번지  ","3000000-101-2004-00341","한식","아구찜","95.00","사직동","상수도전용",""
"3000000","2010","0008","20100901","20101122","나무향기","서울특별시 종로구 세종대로23길 47 1층 108호 (당주동)","서울특별시 종로구 당주동  145번지  ","3000000-101-2010-00103","한식","오리통삼겹 장작구이","343.00","사직동","","02  723 8981"
"3000000","2010","0085","20100901","20101122","향나무세구루","서울특별시 종로구 삼청로 100 (삼청동)","서울특별시 종로구 삼청동  62번지 18호  ","3000000-101-1999-10589","한식","삼겹살","57.95","삼청동","상수도전용","02 7209524"
"3000000","2009","0037","20090831","20091028","사동면옥","서울특별시 종로구 인사동8길 9 (관훈동)","서울특별시 종로구 관훈동  29번지 21호  ","3000000-101-1994-02278","한식","도가니탕냉면","64.95","종로1.2.3.4가동","상수도전용","02 7357393"
"3000000","2009","0018","20090831","20091028","대평갈비","서울특별시 종로구 평창문화로 83 지상23층 (평창동)","서울특별시 종로구 평창동  153번지 1호  지상23층","3000000-101-2000-11611","한식","한방갈비탕","558.55","평창동","상수도전용","02 3955288"
"3000000","2009","0075","20090831","20091028","평창동 북악정","서울특별시 종로구 평창36길 6 지하지상12층 (평창동)","서울특별시 종로구 평창동  114번지 12호  지하 지상12층","3000000-101-1984-01667","한식","갈비 등심","451.81","평창동","상수도전용","02394 2340"
"3000000","2009","0081","20090831","20091028","한일옥","서울특별시 종로구 수표로 94 (관수동 지하1층~지상1층)","서울특별시 종로구 관수동  19번지  (지하1층~지상1층)","3000000-101-2008-00048","한식","갈비탕","273.16","종로1.2.3.4가동","상수도전용","0222657707"
"3000000","2009","0055","20090831","20091028","용금옥","서울특별시 종로구 자하문로 41-2 (통인동)","서울특별시 종로구 통인동  118번지 5호  ","3000000-101-2002-12292","탕류(보신용)","추어탕","76.78","청운효자동","상수도전용","02 7774749"
"3000000","2009","0042","20090831","20091028","스파게티가있는풍경","서울특별시 종로구 새문안로 103-1 2층 (신문로1가)","서울특별시 종로구 신문로1가  1번지 1호  ","3000000-101-2006-00276","기타","스파게티","91.24","사직동","","02 7387018"
"3000000","2009","0040","20090831","20091028","솔밭숯불갈비","서울특별시 종로구 삼일대로28길 5 (낙원동)","서울특별시 종로구 낙원동  43번지  ","3000000-101-1981-01269","한식","숯불갈비","72.94","종로1.2.3.4가동","상수도전용","0207653055"
"3000000","2009","0071","20090831","20091028","태진복집","서울특별시 종로구 자하문로10길 10-24 지상12층 (통의동)","서울특별시 종로구 통의동  92번지  지상12층","3000000-101-1988-04139","복어취급","복지리","233.28","사직동","상수도전용","0207333730"
"3000000","2008","0029","20080701","20081006","무교삼계탕","서울특별시 종로구 인사동7길 37 (관훈동)","서울특별시 종로구 관훈동  198번지 17호  ","3000000-101-1985-06207","한식","삼계탕","76.20","종로1.2.3.4가동","상수도전용",""
"3000000","2008","0036","20080701","20081006","시골해장국","서울특별시 종로구 율곡로 44-12 1층 (관훈동)","서울특별시 종로구 관훈동  109번지 1호  ","3000000-101-1996-02678","한식","해장국","77.43","종로1.2.3.4가동","상수도전용","02  723 4830"
"3000000","2008","0053","20080701","20081006","옥정","서울특별시 종로구 인사동12길 18 1층 (관훈동)","서울특별시 종로구 관훈동  84번지 22호  ","3000000-101-1994-00298","한식","한정식","53.02","종로1.2.3.4가동","상수도전용","02 7335412"
"3000000","2008","0022","20080701","20081006","두레유","서울특별시 종로구 평창30길 28 (평창동)","서울특별시 종로구 평창동  97번지  ","3000000-101-1999-10400","경양식","스테이크","165.80","평창동","상수도전용","0232171090"
"3000000","2008","0069","20080701","20081006","처마끝 하늘풍경","서울특별시 종로구 인사동14길 24-2 1층 (관훈동)","서울특별시 종로구 관훈동  84번지 11호  ","3000000-101-2007-00059","한식","한정식","137.82","종로1.2.3.4가동","상수도전용","02 7343337"
"3000000","2008","0007","20080701","20081006","김가네대청마루","서울특별시 종로구 인사동4길 17 (경운동)","서울특별시 종로구 경운동  47번지 1호  ","3000000-101-1985-00291","한식","돼지갈비","234.66","종로1.2.3.4가동","상수도전용","02 7331338"
"3000000","2008","0001","20080701","20081006","(주)베이징코야","서울특별시 종로구 율곡로2길 29-1 지하1층 (수송동)","서울특별시 종로구 수송동  110번지  지하1층","3000000-101-2006-00306","중국식","북경오리구이","621.00","종로1.2.3.4가동","","02  313 5292"
"3000000","2008","0032","20080701","20081006","박광일 참치","서울특별시 종로구 자하문로 26-1 지상1~지상3층 (통의동)","서울특별시 종로구 통의동  72번지  ","3000000-101-2006-00091","일식","참치회","274.52","사직동","","02 7324114"
"3000000","2008","0078","20080701","20081006","하누소","서울특별시 종로구 삼일대로 428 (낙원동)","서울특별시 종로구 낙원동  272번지  ","3000000-101-2002-11958","한식","갈비탕","552.75","종로1.2.3.4가동","","02 7399990"
"3000000","2008","0082","20080701","20081006","할머니두부집","서울특별시 종로구 진흥로 439 (구기동)","서울특별시 종로구 구기동  85번지 9호  ","3000000-101-1990-01071","한식","두부전골","156.54","평창동","상수도전용","02 3796276"
"3000000","2007","0067","20071015","20071120","허서방네","서울특별시 종로구 종로 332 (창신동)","서울특별시 종로구 창신동  328번지 3호  ","3000000-101-1988-00882","한식","된장찌개","158.34","창신제2동","상수도전용","0207647706"
"3000000","2007","0072","20071109","20071120","(주)토속촌삼계탕","서울특별시 종로구 자하문로5길 5 지상1층 (체부동 (체부동 86-123))","서울특별시 종로구 체부동  85번지 1호  지상1층(체부동 86-123)","3000000-101-1990-00725","한식","삼계탕","440.86","사직동","상수도전용","0207377444"
"3000000","2007","0011","20071112","20071120","눈나무집","서울특별시 종로구 삼청로 136-1 123층 (삼청동)","서울특별시 종로구 삼청동  20번지 8호  ","3000000-101-2005-00056","한식","떡갈비김치말이국수","103.56","삼청동","상수도전용","02 7396742"
"3000000","2007","0093","20071109","20071120","더불어함께","서울특별시 종로구 대명1길 24 (명륜4가)","서울특별시 종로구 명륜4가  71번지 1호  ","3000000-101-1996-02636","한식","한정식","73.04","혜화동","상수도전용",""
"3000000","2007","0077","20071120","20071120","하나로회관","서울특별시 종로구 인사동5길 25 (인사동)","서울특별시 종로구 인사동  194번지 4호  ","3000000-101-1984-00506","한식","불고기 김치찌개","296.55","종로1.2.3.4가동","상수도전용","0207327451"
"3000000","2007","0079","20071109","20071120","한라의 집","서울특별시 종로구 새문안로9길 29-1 (당주동)","서울특별시 종로구 당주동  20번지 2호  ","3000000-101-1983-03756","일식","갈치회","61.98","사직동","상수도전용","0207377484"
"3000000","2007","0047","20071120","20071120","양반댁","서울특별시 종로구 인사동길 19-18 1층 (인사동)","서울특별시 종로구 인사동  193번지 5호  ","3000000-101-1983-00641","한식","한정식","72.49","종로1.2.3.4가동","상수도전용","02 7301112"
"3000000","2007","0006","20071120","20071120","금해 복집","서울특별시 종로구 진흥로 461 12층 (구기동)","서울특별시 종로구 구기동  67번지 19호  ","3000000-101-1997-07563","일식","활지리","341.45","평창동","상수도전용","02 3955656"
"3000000","2007","0004","20071122","20071120","고창선운사풍천장어금정","서울특별시 종로구 대학로2길 38 (종로5가)","서울특별시 종로구 종로5가  31번지  ","3000000-101-2004-00228","한식","장어구이","70.17","종로5.6가동","상수도전용","02 7459589"
"3000000","2007","0045","20071122","20071120","싱글벙글 복어(종로점)","서울특별시 종로구 돈화문로11길 30 (낙원동)","서울특별시 종로구 낙원동  121번지 1호  ","3000000-101-2004-00108","한식","복어","158.56","종로1.2.3.4가동","상수도전용","02 7430787"
"3000000","2007","0005","20071112","20071120","궁나라냉면.묵밥","서울특별시 종로구 지봉로12길 6 1층 (숭인동)","서울특별시 종로구 숭인동  56번지 38호  ","3000000-101-1992-01124","한식","냉면묵밥","115.50","숭인제1동","상수도전용","02744 4701"
"3000000","2007","0009","20071112","20071120","나주곰탕","서울특별시 종로구 지봉로 26-1 1층 (숭인동)","서울특별시 종로구 숭인동  313번지 8호  ","3000000-101-2003-00437","한식","곰탕","158.40","숭인제2동","","02 7780554"
"3000000","2007","0062","20071112","20071120","일품당샤브샤브","서울특별시 종로구 세종대로23길 25 12층 (당주동)","서울특별시 종로구 당주동  16번지 1호  ","3000000-101-2003-00426","한식","샤브샤브","177.64","사직동","","02 7337949"
"3000000","2007","0066","20071120","20071120","종로진낙지","서울특별시 종로구 수표로 122 12층 (낙원동)","서울특별시 종로구 낙원동  139번지  139-1번지","3000000-101-1993-00049","한식","낙지","118.32","종로1.2.3.4가동","상수도전용","02 7420621"
"3000000","2007","0012","20071120","20071120","뉘조","서울특별시 종로구 인사동14길 27 1층 (관훈동)","서울특별시 종로구 관훈동  84번지 13호  ","3000000-101-1993-00086","한식","한정식","95.01","종로1.2.3.4가동","상수도전용","02 7309311"
"3000000","2007","0002","20071120","20071120","(주)석파랑","서울특별시 종로구 자하문로 309 1층 (홍지동)","서울특별시 종로구 홍지동  125번지  ","3000000-101-1993-00149","한식","한정식","183.42","부암동","상수도전용","02395 2500"
"3000000","2007","0020","20071120","20071120","동원참치","서울특별시 종로구 인사동7길 37 지하1층 (관훈동)","서울특별시 종로구 관훈동  198번지 17호  ","3000000-101-1993-05737","일식","회덮밥","109.50","종로1.2.3.4가동","상수도전용","02 7344467"
"3000000","2007","0084","20071109","20071120","향가","서울특별시 종로구 계동길 19-6 (재동)","서울특별시 종로구 재동  84번지 1호  ","3000000-101-2000-11447","한식","시골밥상","200.65","가회동","상수도전용","02 7473368"
"3000000","2007","0019","20071112","20071120","더레스토랑","서울특별시 종로구 삼청로 54 지하1지상12층 (소격동)","서울특별시 종로구 소격동  48번지  ","3000000-101-1999-10390","경양식","스테이크","408.19","삼청동","상수도전용","02 7358441"
"3000000","2007","0041","20071015","20071120","송전","서울특별시 종로구 종로 14 (서린동)","서울특별시 종로구 서린동  136번지  ","3000000-101-1999-05788","일식","생선회","148.12","종로1.2.3.4가동","상수도전용","02 7398282"
"3000000","2007","0003","20071109","20071120","감촌","서울특별시 종로구 종로 19 5층 511호 일부 512호 (종로1가)","서울특별시 종로구 종로1가  24번지  ","3000000-101-1999-00629","한식","순두부","244.56","종로1.2.3.4가동","상수도전용","02 7337035"
"3000000","2007","0023","20071112","20071120","들풀식당","서울특별시 종로구 자하문로 118 (청운동)","서울특별시 종로구 청운동  69번지  ","3000000-101-1998-07944","한식","한정식","97.79","청운효자동","상수도전용","02 7204323"
"3000000","2007","0021","20071112","20071120","된장예술과 술","서울특별시 종로구 대학로11길 9-2 12층 (명륜4가)","서울특별시 종로구 명륜4가  103번지 8호  ","3000000-101-1997-07630","분식","된장정식","150.04","혜화동","상수도전용","02 7454516"
"3000000","2007","0083","20071112","20071120","함흥곰보냉면","서울특별시 종로구 창경궁로 109 401405호 (인의동)","서울특별시 종로구 인의동  112번지 14호  401405호","3000000-101-1968-06103","한식","냉면","334.75","종로1.2.3.4가동","상수도전용","0222732833"
"3000000","2007","0027","20071121","20071120","명원숯불갈비","서울특별시 종로구 통일로12길 8 (행촌동)","서울특별시 종로구 행촌동  209번지 8호  ","3000000-101-1996-02715","한식","돼지갈비","108.32","교남동","상수도전용","02 7384744"
"3000000","2007","0034","20071101","20071120","별미삼청수제비","서울특별시 종로구 삼청로 101-1 (삼청동)","서울특별시 종로구 삼청동  99번지  ","3000000-101-1997-02854","한식","수제비","106.40","삼청동","상수도전용","02 7352965"